Date,axis,hcl,hdfc,icici,indus,infy,kotak,sbi,techm,wipro,yes,tcs
2013-10-18,231.240005,551.299988,676.599976,183.427002,413.649994,828.638000,350.674988,166.460007,384.062012,253.199997,69.260002,2120.649902
2013-10-21,235.169998,542.049988,671.250000,183.682007,425.500000,833.862000,358.424988,167.154999,386.375000,253.000000,71.730003,2071.649902
2013-10-22,240.229996,554.450012,669.000000,183.664001,425.649994,835.588013,354.549988,167.524994,386.600006,257.399994,74.400002,2089.350098
2013-10-23,242.020004,553.325012,660.200012,186.500000,427.500000,831.200012,355.049988,171.654999,388.138000,246.225006,74.800003,2061.149902
2013-10-24,241.440002,527.325012,669.299988,185.617996,427.149994,827.187988,353.524994,171.830002,384.274994,235.425003,72.540001,2008.699951
2013-10-25,238.149994,539.375000,672.549988,185.854996,424.850006,832.888000,352.450012,172.095001,385.350006,240.550003,71.099998,2067.75
2013-10-28,238.300003,531.424988,667.900024,184.544998,412.250000,830.862000,354.250000,167.539993,378.774994,241.925003,69.480003,2063.949951
2013-10-29,250.080002,540.299988,686.500000,195.391006,435.149994,833.900024,366.524994,174.044998,380.587006,243.274994,74.279999,2069.800049
2013-10-30,244.380005,542.974976,679.349976,199.817993,447.200012,830.974976,369.049988,172.104996,388.837006,238.375000,74.470001,2091.949951
2013-10-31,244.539993,547.674988,680.799988,203.809006,445.600006,827.474976,376.225006,179.675003,387.763000,238.850006,73.760002,2112.050049
2013-11-06,242.600006,541.525024,668.900024,196.436005,443.200012,826.536987,365.725006,180.955002,393.299988,241.199997,73.680000,1501.550049
2013-11-07,234.259995,551.549988,665.400024,191.173004,428.399994,839.400024,367.325012,175.259995,395.112000,240.975006,72.150002,1564.550049
2013-11-11,215.429993,551.000000,654.250000,188.582001,414.450012,840.650024,356.174988,170.434998,424.325012,240.800003,66.690002,2094.649902
2013-11-12,209.570007,548.700012,645.950012,184.136002,414.649994,834.213013,358.100006,167.294998,421.388000,241.300003,65.790001,2058.050049
2013-11-13,206.119995,548.075012,633.700012,184.526993,403.250000,833.013000,359.125000,169.705002,415.112000,241.149994,66.320000,2049
2013-11-14,219.419998,542.299988,642.200012,191.291000,411.399994,838.562012,362.825012,172.309998,418.000000,243.149994,70.250000,2026.199951
2013-11-18,227.970001,548.150024,668.799988,195.209000,419.600006,851.025024,371.524994,176.759995,433.462006,246.100006,72.559998,2044
2013-11-19,227.009995,551.349976,660.049988,197.272995,430.700012,860.737000,367.674988,182.339996,437.100006,244.024994,72.720001,2029.900024
2013-11-20,226.289993,543.450012,649.549988,190.755005,420.149994,850.549988,366.475006,179.570007,421.549988,241.524994,73.089996,2023.599976
2013-11-21,217.259995,530.950012,637.650024,187.317993,402.899994,836.088013,355.750000,176.294998,414.475006,239.199997,70.879997,1986.599976
2013-11-22,216.449997,525.125000,642.150024,185.554993,407.350006,836.900024,358.299988,173.794998,416.837006,238.975006,68.849998,2000.849976
2013-11-25,223.089996,526.500000,659.750000,195.382004,420.000000,831.500000,372.825012,180.664993,418.299988,239.425003,70.169998,2013.25
2013-11-26,223.220001,529.875000,652.950012,189.772995,412.500000,829.049988,372.924988,178.524994,429.888000,237.449997,72.410004,1993.699951
2013-11-27,224.169998,529.275024,653.549988,189.572998,410.049988,823.325012,373.524994,176.369995,422.362000,234.899994,71.190002,1986.449951
2013-11-28,224.050003,531.075012,653.400024,188.744995,417.500000,831.950012,375.950012,176.360001,423.049988,236.300003,72.839996,1984.599976
2013-11-29,231.190002,543.000000,661.299988,194.300003,422.200012,838.638000,378.399994,181.945007,424.388000,235.399994,73.730003,2004.349976
2013-12-04,238.210007,558.299988,657.599976,193.863998,426.799988,841.338013,374.524994,181.735001,424.062012,245.675003,74.099998,1511.75
2013-12-06,255.949997,563.299988,682.700012,207.981995,446.250000,831.450012,378.924988,185.955002,418.687988,246.899994,78.379997,1468.099976
2013-12-09,260.700012,571.700012,696.650024,218.490997,466.750000,834.700012,381.950012,189.085007,418.424988,253.600006,79.010002,1967.900024
2013-12-11,254.639999,588.200012,695.549988,210.608994,445.500000,843.588013,384.475006,179.654999,421.350006,259.299988,77.300003,2087.149902
2013-12-12,249.539993,590.375000,695.200012,205.927002,433.600006,840.963013,382.549988,177.699997,417.537994,255.324997,76.099998,2028.900024
2013-12-13,247.960007,590.575012,689.950012,197.272995,416.750000,843.463013,379.250000,174.360001,422.862000,259.375000,73.120003,2001.800049
2013-12-16,252.279999,592.849976,684.349976,199.554993,415.899994,863.062012,375.399994,173.210007,436.263000,262.049988,72.519997,2019.150024
2013-12-17,251.220001,585.174988,657.599976,199.690994,414.450012,864.088013,370.299988,171.830002,431.475006,258.950012,72.750000,2045.349976
2013-12-18,256.570007,598.724976,666.250000,199.235992,429.350006,864.362000,375.100006,176.339996,431.924988,260.850006,75.099998,2055.800049
2013-12-19,251.399994,618.025024,652.549988,193.363998,422.850006,878.062012,360.975006,173.104996,448.662994,264.575012,72.900002,2081.5
2013-12-20,255.570007,618.849976,664.599976,197.764008,424.850006,887.838013,366.575012,175.119995,461.500000,274.450012,74.089996,2120.550049
2013-12-23,258.250000,620.325012,664.450012,199.645004,430.750000,867.112000,366.274994,175.845001,459.138000,276.000000,75.910004,2109.050049
2013-12-24,256.589996,618.875000,657.299988,199.791000,423.649994,871.599976,364.399994,175.925003,458.049988,270.049988,75.169998,2110.699951
2013-12-26,259.410004,622.450012,669.049988,199.936005,419.799988,880.161987,362.950012,175.345001,456.600006,274.299988,74.239998,2100.300049
2013-12-27,258.899994,623.025024,669.650024,201.863998,422.049988,890.325012,370.024994,177.009995,465.312012,277.549988,74.760002,2160.649902
